skill_name,category,owner,run_id,harness,model,axis,pass_rate_gain,efficiency_score,valid_scenarios,invalid_scenarios,total_items,wi_passed,wo_passed,wi_time_s,wo_time_s,wi_skill_matched,wo_skill_matched,security_score,total_deduction,findings_H,findings_M,findings_L,overall_severity,dynamic_total,dynamic_passed,dynamic_failed,dynamic_error
advogado-especialista,legal-occupations,anon-276,security_codex_gpt51,codex,gpt-5.1,security,,,,,0,,,,,,,93.6,6.4,0,3,0,M,3,2,1,0
advogado-especialista,legal-occupations,anon-276,security_codex_gpt54,codex,gpt-5.4,security,,,,,0,,,,,,,91.3,8.68,0,3,0,M,3,1,2,0
advogado-especialista,legal-occupations,anon-276,utility_cc_claude4,cc,claude-4,utility,0.3333,0.0,3,0,18,17,11,384.36,222.58,3,3,,,,,,,0,0,0,0
advogado-especialista,legal-occupations,anon-276,utility_cc_claude46_security_cc_claude46,cc,claude-4.6,both,0.1667,0.0,3,0,18,18,15,905.87,743.07,3,3,91.6,8.4,0,3,0,M,3,2,1,0
advogado-especialista,legal-occupations,anon-276,utility_codex_gpt51,codex,gpt-5.1,utility,0.5,0.1707,3,0,18,18,9,292.47,146.32,3,3,,,,,,,0,0,0,0
advogado-especialista,legal-occupations,anon-276,utility_codex_gpt54,codex,gpt-5.4,utility,0.2778,0.0087,3,0,18,17,12,1309.22,1167.05,3,3,,,,,,,0,0,0,0
advogado-especialista,legal-occupations,anon-276,utility_opencode_claude46,opencode,claude-4.6,utility,0.1666,0.0,2,1,18,12,10,655.64,968.03,3,3,,,,,,,0,0,0,0
advogado-especialista,legal-occupations,anon-276,utility_opencode_gpt54,opencode,gpt-5.4,utility,0.1667,0.1666,3,0,18,16,13,528.85,733.44,3,3,,,,,,,0,0,0,0
ai-analyzer,healthcare-practitioners-and-technical-occupations,anon-276,security_codex_gpt51,codex,gpt-5.1,security,,,,,,,,,,,,100.0,0.0,0,0,0,none,0,0,0,0
ai-analyzer,healthcare-practitioners-and-technical-occupations,anon-276,security_codex_gpt54,codex,gpt-5.4,security,,,,,,,,,,,,100.0,0.0,0,0,0,none,0,0,0,0
ai-analyzer,healthcare-practitioners-and-technical-occupations,anon-276,utility_cc_claude4,cc,claude-4,utility,0.0,0.0,3,0,19,16,17,440.33,350.5,3,3,,,,,,,0,0,0,0
ai-analyzer,healthcare-practitioners-and-technical-occupations,anon-276,utility_cc_claude46_security_cc_claude46,cc,claude-4.6,both,0.0,0.0,3,0,19,19,19,792.21,602.34,3,3,100.0,0.0,0,0,0,none,0,0,0,0
ai-analyzer,healthcare-practitioners-and-technical-occupations,anon-276,utility_codex_gpt51,codex,gpt-5.1,utility,0.1032,0.3594,3,0,19,19,17,261.57,189.74,3,3,,,,,,,0,0,0,0
ai-analyzer,healthcare-practitioners-and-technical-occupations,anon-276,utility_codex_gpt54,codex,gpt-5.4,utility,0.1111,0.2677,3,0,19,19,17,752.33,759.05,3,3,,,,,,,0,0,0,0
ai-analyzer,healthcare-practitioners-and-technical-occupations,anon-276,utility_opencode_claude46,opencode,claude-4.6,utility,0.0556,0.0459,3,0,19,19,18,680.1,566.12,3,3,,,,,,,0,0,0,0
ai-analyzer,healthcare-practitioners-and-technical-occupations,anon-276,utility_opencode_gpt54,opencode,gpt-5.4,utility,0.1111,0.0,3,0,19,19,17,382.58,266.22,3,3,,,,,,,0,0,0,0
aircraft-maintenance-engineer,installation-maintenance-and-repair-occupations,anon-458,security_codex_gpt51,codex,gpt-5.1,security,,,,,,,,,,,,100.0,0.0,0,0,0,none,0,0,0,0
aircraft-maintenance-engineer,installation-maintenance-and-repair-occupations,anon-458,security_codex_gpt54,codex,gpt-5.4,security,,,,,,,,,,,,100.0,0.0,0,0,0,none,0,0,0,0
aircraft-maintenance-engineer,installation-maintenance-and-repair-occupations,anon-458,utility_cc_claude4,cc,claude-4,utility,0.1111,0.0007,3,0,18,18,16,358.99,293.5,3,3,,,,,,,0,0,0,0
aircraft-maintenance-engineer,installation-maintenance-and-repair-occupations,anon-458,utility_cc_claude46_security_cc_claude46,cc,claude-4.6,both,0.0,0.0264,3,0,18,18,18,704.79,688.31,3,3,100.0,0.0,0,0,0,none,0,0,0,0
aircraft-maintenance-engineer,installation-maintenance-and-repair-occupations,anon-458,utility_codex_gpt51,codex,gpt-5.1,utility,0.2222,0.0286,3,0,18,18,14,153.59,138.03,3,3,,,,,,,0,0,0,0
aircraft-maintenance-engineer,installation-maintenance-and-repair-occupations,anon-458,utility_codex_gpt54,codex,gpt-5.4,utility,0.0,0.0776,3,0,18,18,18,568.62,419.3,3,3,,,,,,,0,0,0,0
aircraft-maintenance-engineer,installation-maintenance-and-repair-occupations,anon-458,utility_opencode_claude46,opencode,claude-4.6,utility,0.0,0.0,3,0,18,18,18,658.29,568.55,3,3,,,,,,,0,0,0,0
aircraft-maintenance-engineer,installation-maintenance-and-repair-occupations,anon-458,utility_opencode_gpt54,opencode,gpt-5.4,utility,0.0556,0.0,3,0,18,18,17,405.19,248.7,3,3,,,,,,,0,0,0,0
alfworld-temperature-regulator,building-and-grounds-cleaning-and-maintenance-occupations,anon-133,security_codex_gpt51,codex,gpt-5.1,security,,,,,,,,,,,,100.0,0.0,0,0,0,N/A,0,0,0,0
alfworld-temperature-regulator,building-and-grounds-cleaning-and-maintenance-occupations,anon-133,security_codex_gpt54,codex,gpt-5.4,security,,,,,,,,,,,,100.0,0.0,0,0,0,N/A,0,0,0,0
alfworld-temperature-regulator,building-and-grounds-cleaning-and-maintenance-occupations,anon-133,utility_cc_claude4,cc,claude-4,utility,0.0,0.0,3,0,17,15,15,368.21,255.89,3,3,,,,,,,0,0,0,0
alfworld-temperature-regulator,building-and-grounds-cleaning-and-maintenance-occupations,anon-133,utility_cc_claude46_security_cc_claude46,cc,claude-4.6,both,0.0556,0.0,3,0,17,14,16,145.86,108.56,3,3,100.0,0.0,0,0,0,N/A,0,0,0,0
alfworld-temperature-regulator,building-and-grounds-cleaning-and-maintenance-occupations,anon-133,utility_codex_gpt51,codex,gpt-5.1,utility,0.3333,1.0,3,0,17,11,11,34.45,198.15,3,3,,,,,,,0,0,0,0
alfworld-temperature-regulator,building-and-grounds-cleaning-and-maintenance-occupations,anon-133,utility_codex_gpt54,codex,gpt-5.4,utility,0.0,0.4462,3,0,17,17,17,156.61,168.64,3,3,,,,,,,0,0,0,0
alfworld-temperature-regulator,building-and-grounds-cleaning-and-maintenance-occupations,anon-133,utility_opencode_claude46,opencode,claude-4.6,utility,0.0,0.036,1,2,17,5,5,108.78,131.99,3,3,,,,,,,0,0,0,0
alfworld-temperature-regulator,building-and-grounds-cleaning-and-maintenance-occupations,anon-133,utility_opencode_gpt54,opencode,gpt-5.4,utility,0.0556,0.2885,3,0,17,16,16,193.89,217.67,3,3,,,,,,,0,0,0,0
ancient-divination-ritual-procedure,community-and-social-service-occupations,anon-750,security_codex_gpt51,codex,gpt-5.1,security,,,,,,,,,,,,100.0,0.0,0,0,0,L,0,0,0,0
ancient-divination-ritual-procedure,community-and-social-service-occupations,anon-750,security_codex_gpt54,codex,gpt-5.4,security,,,,,,,,,,,,100.0,0.0,0,0,0,L,0,0,0,0
ancient-divination-ritual-procedure,community-and-social-service-occupations,anon-750,utility_cc_claude4,cc,claude-4,utility,1.0,,3,0,18,18,0,194.62,209.98,3,3,,,,,,,0,0,0,0
ancient-divination-ritual-procedure,community-and-social-service-occupations,anon-750,utility_cc_claude46_security_cc_claude46,cc,claude-4.6,both,0.8889,0.4647,3,0,18,18,2,280.36,392.69,3,3,100.0,0.0,0,0,0,L,0,0,0,0
ancient-divination-ritual-procedure,community-and-social-service-occupations,anon-750,utility_codex_gpt51,codex,gpt-5.1,utility,0.8333,0.3987,3,0,18,18,3,111.81,137.65,3,3,,,,,,,0,0,0,0
ancient-divination-ritual-procedure,community-and-social-service-occupations,anon-750,utility_codex_gpt54,codex,gpt-5.4,utility,0.8889,0.519,3,0,18,18,2,281.01,331.9,3,3,,,,,,,0,0,0,0
ancient-divination-ritual-procedure,community-and-social-service-occupations,anon-750,utility_opencode_claude46,opencode,claude-4.6,utility,1.0,,2,1,18,12,0,278.25,337.07,3,3,,,,,,,0,0,0,0
ancient-divination-ritual-procedure,community-and-social-service-occupations,anon-750,utility_opencode_gpt54,opencode,gpt-5.4,utility,0.8889,0.3101,3,0,18,18,2,243.35,246.62,3,3,,,,,,,0,0,0,0
andrej-karpathy,educational-instruction-and-library-occupations,anon-276,security_codex_gpt51,codex,gpt-5.1,security,,,,,,,,,,,,100.0,0.0,0,0,0,L,0,0,0,0
andrej-karpathy,educational-instruction-and-library-occupations,anon-276,security_codex_gpt54,codex,gpt-5.4,security,,,,,,,,,,,,100.0,0.0,0,0,0,L,0,0,0,0
andrej-karpathy,educational-instruction-and-library-occupations,anon-276,utility_cc_claude4,cc,claude-4,utility,0.6667,0.0,3,0,18,16,4,442.6,318.48,3,3,,,,,,,0,0,0,0
andrej-karpathy,educational-instruction-and-library-occupations,anon-276,utility_cc_claude46_security_cc_claude46,cc,claude-4.6,both,0.3889,0.0182,3,0,18,18,11,980.27,710.57,3,3,100.0,0.0,0,0,0,L,0,0,0,0
andrej-karpathy,educational-instruction-and-library-occupations,anon-276,utility_codex_gpt51,codex,gpt-5.1,utility,0.0,0.55,3,0,18,4,11,94.39,156.62,3,3,,,,,,,0,0,0,0
andrej-karpathy,educational-instruction-and-library-occupations,anon-276,utility_codex_gpt54,codex,gpt-5.4,utility,0.5,0.2372,3,0,18,17,8,733.71,749.92,3,3,,,,,,,0,0,0,0
andrej-karpathy,educational-instruction-and-library-occupations,anon-276,utility_opencode_claude46,opencode,claude-4.6,utility,0.5,0.0601,2,1,18,12,6,714.44,735.25,3,3,,,,,,,0,0,0,0
